-1000,100,-4000
2850,0,-1800
1400,-250,-6670
-4300,150,-3500
-5675,300,5846
5500,100,8000
-4550,80,-7000
-500,0,-7130
-1800,-100,-3400
1480,-210,3610
-300,237,-4100
-4600,0,-4900
3600,-57,5800
-900,115,-5006
100,-216,-4900
4500,237,3000
-1700,-7,-7900
-690,-57,-6800
-1500,115,-2000
300,-216,-6200
-3000,237,6500
1300,-7,-8700
-900,-57,-8000
500,115,-5400
-4300,-211,-3300
500,-200,-8600
300,-216,-8300
2900,237,7200
900,-7,-8400
2200,-50,-8200
-2900,115,-7100
-2400,173,-8600
-1890,210,-6690
4660,-160,4440
-1700,49,-3000
4400,-270,530
-2600,-245,-5000
-3600,-195,-2500
970,110,-8320
-6300,0,-7300
-100,53,-2200
1400,-123,-8100
-900,-124,-6300
200,-216,-8200
-300,237,-5200
60,0,-8200
-1000,-57,1000
-4500,110,-7750
-300,91,-3300
3200,-76,3600
-1500,264,-50
-4400,-270,5000
-2150,-230,7300
-2300,-110,-8350
-4000,283,-8500
4000,-274,-500
-5630,-10,-3890
2840,-290,4800
2700,185,-8500
5100,-75,-3700
-3300,260,-3800
4000,-125,-3600
3300,180,-3000
-3100,-38,-8100
1600,-86,7200
-4500,-174,-1500
5000,120,3500
-4200,-238,-8600
1400,-110,4600
-800,30,-5900
1400,-250,-8500
-2800,232,-8600
-900,89,-8200
-3700,-200,5700
4480,20,5225
-5300,-161,-7800
1800,49,-7900
-4100,300,-6600
1800,-270,5600
-1000,-1,-1000
1500,123,-6000
-5300,279,-7600
1700,293,600
-3100,298,-1100
1800,-227,1800
-3000,-225,-3100
-400,-120,-5800
4400,67,4200
-3400,38,-4500
-1000,-20,-7630
-6000,-222,7500
500,-126,-3900
-2200,-188,-2100
3000,-110,-8200
-1810,110,6100
4100,225,3800
-800,-243,-5600
5500,80,6500
4830,-200,7720
2400,11,2400
2700,133,6800
800,-179,1400
1230,20,6270
-200,230,7100
-3230,250,-6700
-500,-24,-7500
-400,-124,-2800
-5000,76,6600
-500,-94,1800
-4700,90,7500
5100,-93,6300
220,260,-7600
-4500,260,-6000
-1600,-15,-6100
-2350,110,-4550
-1900,-243,-8500
1500,109,-8600
4000,-24,7100
-3000,-24,2000
-170,-230,8400
400,286,-8000
-5500,10,-2700
5700,218,7100
3350,-280,1860
-2900,-153,-8000
-10,290,6500
-4000,55,-500
-3800,-245,-7000
-1400,-222,-8200
-1800,-233,-4400
-5800,58,5500
3717,-98,-5257
1100,-231,-8400
-4900,-280,-5000
3350,-170,8270
-2600,250,-6400
-6000,258,4800
4400,30,-2500
-3600,-260,-1500
3400,-264,2800
-6000,-44,-1300
3500,245,6700
5680,10,4150
1300,-138,-1600
4400,252,-5300
5600,234,5800
-500,100,-4500
-2100,-140,4240
2450,-200,-7300
-5000,-226,-250
-1354,300,-2143
500,-188,-4300
-5000,-240,2000
-2100,20,-5760
-170,-40,5600
2200,-300,-2500
5000,219,-6700
3500,184,-8300
300,49,-2600
3900,224,-4900
-5000,26,-1800
-500,-89,-3700
1300,-32,-5400
800,-72,-4800
1000,-99,-5300
3400,-160,1000
2800,61,-4800
-1600,80,1000
-4000,113,3000
1500,168,-3700
2800,230,100
1800,-270,-5200
4500,-110,-1700
-5000,200,-6500
-2900,-190,1000
5300,-200,-1100
-4200,62,1000
-3200,-200,3900
1700,100,-1000
1900,-223,-3200
-4900,248,-5800
-3100,-290,500
-5900,115,-5600
3300,90,-4200
580,-20,3060
2400,-25,-6600
2600,90,-4300
900,260,-3800
1000,270,4700
-700,183,4400
400,175,4800
1800,12,-4400
1800,-52,2800
1500,113,-6200
600,282,7300
1900,-141,-5800
-900,258,7800
2900,97,-3500
5500,-22,0
2400,-25,-600
1000,10,-2600
-2000,260,2100
1100,270,-1300
-770,180,5550
-4310,170,2280
-1000,12,2600
-2500,-52,2800
-1740,110,3260
-3400,280,3260
-1560,-140,5270
-1330,250,6800
